,K55 CNC,Machine_Type,Total_Dim,Shift1_Sample_Taken,Shift1_OK_Count,Shift1_NG_Count,Shift1_Yield%,Shift1_NG_List,Shift2_Sample_Taken,Shift2_OK_Count,Shift2_NG_Count,Shift2_Yield%,Shift2_NG_List,Shift3_Sample_Taken,Shift3_OK_Count,Shift3_NG_Count,Shift3_Yield%,Shift3_NG_List
30,BM1L1C1F19,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
31,BM1L1C1F19,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
32,BM1L1C1F19,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
33,BM1L1C1F2,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
34,BM1L1C1F2,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
35,BM1L1C1F2,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
36,BM1L1C1F20,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
37,BM1L1C1F20,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
38,BM1L1C1F20,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
39,BM1L1C1F21,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
40,BM1L1C1F21,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
41,BM1L1C1F21,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
42,BM1L1C1F22,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
43,BM1L1C1F22,LR,16,13.0,12.0,1.0,92.3%,"('FAI0649',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
44,BM1L1C1F22,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
45,BM1L1C1F23,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
46,BM1L1C1F23,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
47,BM1L1C1F23,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
48,BM1L1C1F24,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
49,BM1L1C1F24,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
50,BM1L1C1F24,RR,7,28.0,0.0,28.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
51,BM1L1C1F25,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
52,BM1L1C1F25,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
53,BM1L1C1F25,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
54,BM1L1C1F26,BU,33,45.0,44.0,1.0,97.8%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
55,BM1L1C1F26,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
56,BM1L1C1F26,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
57,BM1L1C1F27,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
58,BM1L1C1F27,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
59,BM1L1C1F27,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
60,BM1L1C1F28,BU,33,45.0,44.0,1.0,97.8%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
61,BM1L1C1F28,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
62,BM1L1C1F28,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
63,BM1L1C1F29,BU,33,30.0,29.0,1.0,96.7%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
64,BM1L1C1F29,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
65,BM1L1C1F29,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
66,BM1L1C1F3,BU,33,45.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
67,BM1L1C1F3,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
68,BM1L1C1F3,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
