,K55 CNC,Machine_Type,Total_Dim_x,Sample_Taken,OK_Count,Yield%_y,Shift1_Sample_Taken,Shift1_DIM_Inspected,Shift1_OK_Count,Shift1_NG_Count,Shift1_NG_List,Shift2_Sample_Taken,Shift2_DIM_Inspected,Shift2_OK_Count,Shift2_NG_Count,Shift2_NG_List,Shift3_Sample_Taken,Shift3_DIM_Inspected,Shift3_OK_Count,Shift3_NG_Count,Shift3_NG_List
373,BM1L2C1F1,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
376,BM1L2C1F10,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
379,BM1L2C1F10,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
382,BM1L2C1F10,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
385,BM1L2C1F11,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
387,BM1L2C1F11,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
389,BM1L2C1F11,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
391,BM1L2C1F114,BU,33,19,18.0,94.7%,19.0,12.0,18.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
392,BM1L2C1F114,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
393,BM1L2C1F114,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
394,BM1L2C1F12,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
397,BM1L2C1F12,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
399,BM1L2C1F12,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
402,BM1L2C1F13,BU,33,60,59.0,98.3%,60.0,11.0,59.0,1.0,0,60.0,11.0,59.0,1.0,"('P66',)",60.0,11.0,59.0,1.0,0
405,BM1L2C1F13,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
408,BM1L2C1F13,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
411,BM1L2C1F14,LR,16,52,51.0,98.1%,52.0,12.0,51.0,1.0,"('FAI0780',)",52.0,12.0,51.0,1.0,0,52.0,12.0,51.0,1.0,0
414,BM1L2C1F14,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
417,BM1L2C1F15,LR,16,117,117.0,100.0%,117.0,12.0,117.0,0.0,0,117.0,12.0,117.0,0.0,0,117.0,12.0,117.0,0.0,0
420,BM1L2C1F15,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
423,BM1L2C1F16,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
425,BM1L2C1F16,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,0.0,0.0,0.0,0.0,0,39.0,12.0,39.0,0.0,0
427,BM1L2C1F16,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
429,BM1L2C1F17,BU,33,75,75.0,100.0%,75.0,11.0,75.0,0.0,0,75.0,11.0,75.0,0.0,0,75.0,11.0,75.0,0.0,0
432,BM1L2C1F17,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
435,BM1L2C1F17,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
438,BM1L2C1F18,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
441,BM1L2C1F18,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
444,BM1L2C1F18,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
447,BM1L2C1F19,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
450,BM1L2C1F19,LR,16,39,38.0,97.4%,39.0,12.0,38.0,1.0,0,39.0,12.0,38.0,1.0,0,39.0,12.0,38.0,1.0,"('FAI0780',)"
453,BM1L2C1F19,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
456,BM1L2C1F2,BU,33,60,60.0,100.0%,60.0,11.0,60.0,0.0,0,60.0,11.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0
458,BM1L2C1F2,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
460,BM1L2C1F2,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
462,BM1L2C1F20,BU,33,45,44.0,97.8%,45.0,11.0,44.0,1.0,"('P66',)",45.0,11.0,44.0,1.0,0,45.0,11.0,44.0,1.0,0
465,BM1L2C1F20,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
468,BM1L2C1F20,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
471,BM1L2C1F21,BU,33,68,68.0,100.0%,68.0,12.0,68.0,0.0,0,68.0,11.0,68.0,0.0,0,68.0,12.0,68.0,0.0,0
474,BM1L2C1F21,LR,16,78,78.0,100.0%,78.0,12.0,78.0,0.0,0,78.0,12.0,78.0,0.0,0,78.0,12.0,78.0,0.0,0
477,BM1L2C1F21,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
480,BM1L2C1F22,BU,33,95,91.0,95.8%,95.0,12.0,91.0,4.0,"('P63_2', 'P63_3', 'P63_4')",95.0,12.0,91.0,4.0,"('P63_3',)",95.0,12.0,91.0,4.0,0
483,BM1L2C1F22,LR,16,65,65.0,100.0%,65.0,12.0,65.0,0.0,0,65.0,12.0,65.0,0.0,0,65.0,12.0,65.0,0.0,0
486,BM1L2C1F22,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
489,BM1L2C1F23,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
491,BM1L2C1F23,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
493,BM1L2C1F23,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
495,BM1L2C1F24,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
497,BM1L2C1F24,LR,16,26,22.0,84.6%,26.0,12.0,22.0,4.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,22.0,4.0,"('M130_1', 'M130_2', 'FAI0288', 'FAI0780')"
499,BM1L2C1F24,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
501,BM1L2C1F25,BU,33,49,47.0,95.9%,49.0,12.0,47.0,2.0,0,49.0,11.0,47.0,2.0,"('P66',)",49.0,11.0,47.0,2.0,"('P66',)"
504,BM1L2C1F25,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
507,BM1L2C1F25,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
510,BM1L2C1F26,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
513,BM1L2C1F26,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
