,K55 CNC,Machine_Type,Total_Dim_x,Sample_Taken,OK_Count,Yield%_y,Shift1_Sample_Taken,Shift1_DIM_Inspected,Shift1_OK_Count,Shift1_NG_Count,Shift1_NG_List,Shift2_Sample_Taken,Shift2_DIM_Inspected,Shift2_OK_Count,Shift2_NG_Count,Shift2_NG_List,Shift3_Sample_Taken,Shift3_DIM_Inspected,Shift3_OK_Count,Shift3_NG_Count,Shift3_NG_List
571,BM1L2C1F32,BU,33,49,47.0,95.9%,49.0,11.0,47.0,2.0,0,49.0,12.0,47.0,2.0,"('P64', 'P66')",49.0,11.0,47.0,2.0,0
574,BM1L2C1F32,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
577,BM1L2C1F32,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
580,BM1L2C1F34,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
583,BM1L2C1F34,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
586,BM1L2C1F34,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
589,BM1L2C1F35,BU,33,60,58.0,96.7%,60.0,11.0,58.0,2.0,"('P64',)",60.0,11.0,58.0,2.0,"('P64',)",60.0,11.0,58.0,2.0,0
592,BM1L2C1F35,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
595,BM1L2C1F35,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
598,BM1L2C1F36,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
600,BM1L2C1F36,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
602,BM1L2C1F36,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
604,BM1L2C1F37,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
607,BM1L2C1F37,LR,16,52,51.0,98.1%,52.0,12.0,51.0,1.0,0,52.0,12.0,51.0,1.0,0,52.0,12.0,51.0,1.0,"('FAI0780',)"
610,BM1L2C1F37,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
613,BM1L2C1F38,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
616,BM1L2C1F38,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
619,BM1L2C1F38,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
622,BM1L2C1F39,BU,33,30,29.0,96.7%,30.0,11.0,29.0,1.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,29.0,1.0,"('P66',)"
624,BM1L2C1F39,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
626,BM1L2C1F39,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
628,BM1L2C1F4,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0
630,BM1L2C1F4,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
632,BM1L2C1F4,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
634,BM1L2C1F40,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
637,BM1L2C1F40,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
640,BM1L2C1F40,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
643,BM1L2C1F41,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
646,BM1L2C1F41,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
649,BM1L2C1F41,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
652,BM1L2C1F42,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
655,BM1L2C1F42,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
658,BM1L2C1F42,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
661,BM1L2C1F43,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
664,BM1L2C1F43,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
667,BM1L2C1F43,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
670,BM1L2C1F44,BU,33,64,64.0,100.0%,64.0,11.0,64.0,0.0,0,64.0,11.0,64.0,0.0,0,64.0,12.0,64.0,0.0,0
673,BM1L2C1F44,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
676,BM1L2C1F44,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
679,BM1L2C1F45,BU,33,49,49.0,100.0%,49.0,11.0,49.0,0.0,0,49.0,12.0,49.0,0.0,0,49.0,11.0,49.0,0.0,0
682,BM1L2C1F45,LR,16,39,38.0,97.4%,39.0,12.0,38.0,1.0,0,39.0,12.0,38.0,1.0,"('FAI0780',)",39.0,12.0,38.0,1.0,0
685,BM1L2C1F45,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
688,BM1L2C1F46,BU,33,45,44.0,97.8%,45.0,11.0,44.0,1.0,"('P64',)",45.0,11.0,44.0,1.0,0,45.0,11.0,44.0,1.0,0
691,BM1L2C1F46,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
694,BM1L2C1F46,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
697,BM1L2C1F47,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
699,BM1L2C1F47,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
701,BM1L2C1F47,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
703,BM1L2C1F5,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0
705,BM1L2C1F5,LR,16,52,51.0,98.1%,52.0,12.0,51.0,1.0,"('FAI0780',)",52.0,12.0,51.0,1.0,0,0.0,0.0,0.0,0.0,0
707,BM1L2C1F5,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
709,BM1L2C1F6,BU,33,79,78.0,98.7%,79.0,12.0,78.0,1.0,"('P63_1',)",79.0,11.0,78.0,1.0,0,79.0,11.0,78.0,1.0,0
712,BM1L2C1F6,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
715,BM1L2C1F6,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
718,BM1L2C1F7,BU,33,34,34.0,100.0%,34.0,11.0,34.0,0.0,0,34.0,12.0,34.0,0.0,0,0.0,0.0,0.0,0.0,0
720,BM1L2C1F7,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,0.0,0.0,0.0,0.0,0
722,BM1L2C1F7,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
724,BM1L2C1F8,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,0.0,0.0,0.0,0.0,0
726,BM1L2C1F8,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
728,BM1L2C1F8,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
730,BM1L2C1F9,BU,33,30,28.0,93.3%,30.0,11.0,28.0,2.0,"('P64', 'P66')",30.0,11.0,28.0,2.0,0,0.0,0.0,0.0,0.0,0
732,BM1L2C1F9,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
734,BM1L2C1F9,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
736,BM1L3C1F07,BU,33,19,19.0,100.0%,19.0,12.0,19.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
737,BM1L3C1F07,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
738,BM1L3C1F07,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
739,BM1L3C1F11,BU,33,53,53.0,100.0%,53.0,12.0,53.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
740,BM1L3C1F11,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
741,BM1L3C1F11,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
742,BM1L3C1F12,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
744,BM1L3C1F12,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
746,BM1L3C1F12,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
748,BM1L3C1F13,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
751,BM1L3C1F13,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
754,BM1L3C1F13,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
757,BM1L3C1F14,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
759,BM1L3C1F14,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
761,BM1L3C1F14,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
763,BM1L3C1F15,BU,33,49,49.0,100.0%,49.0,11.0,49.0,0.0,0,49.0,12.0,49.0,0.0,0,49.0,11.0,49.0,0.0,0
766,BM1L3C1F15,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
769,BM1L3C1F15,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
772,BM1L3C1F16,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
775,BM1L3C1F17,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0
777,BM1L3C1F17,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
779,BM1L3C1F17,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
781,BM1L3C1F18,BU,33,19,17.0,89.5%,19.0,12.0,17.0,2.0,"('P64', 'P63_3')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
782,BM1L3C1F18,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
783,BM1L3C1F18,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
784,BM1L3C1F2,BU,33,19,19.0,100.0%,19.0,12.0,19.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
785,BM1L3C1F2,LR,16,39,38.0,97.4%,39.0,12.0,38.0,1.0,"('FAI0780',)",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
786,BM1L3C1F2,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
787,BM1L3C1F20,BU,33,53,50.0,94.3%,53.0,11.0,50.0,3.0,0,0.0,0.0,0.0,0.0,0,53.0,12.0,50.0,3.0,"('P63_2', 'P63_3', 'P63_4')"
789,BM1L3C1F20,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
791,BM1L3C1F20,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
793,BM1L3C1F22,BU,33,34,34.0,100.0%,34.0,12.0,34.0,0.0,0,0.0,0.0,0.0,0.0,0,34.0,11.0,34.0,0.0,0
795,BM1L3C1F22,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
797,BM1L3C1F22,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
799,BM1L3C1F23,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
801,BM1L3C1F23,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
803,BM1L3C1F23,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
805,BM1L3C1F24,BU,33,79,76.0,96.2%,79.0,12.0,76.0,3.0,"('P63_2', 'P63_3', 'P63_4')",79.0,11.0,76.0,3.0,0,79.0,11.0,76.0,3.0,0
808,BM1L3C1F25,BU,33,30,29.0,96.7%,30.0,11.0,29.0,1.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,29.0,1.0,"('P66',)"
810,BM1L3C1F25,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
813,BM1L3C1F25,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
815,BM1L3C1F26,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
817,BM1L3C1F26,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
819,BM1L3C1F28,BU,33,30,29.0,96.7%,30.0,11.0,29.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,30.0,11.0,29.0,1.0,0
821,BM1L3C1F28,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
823,BM1L3C1F28,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
